id,compound_size
DB11343,3
DB01150,5
DB08612,5
DB07521,6
DB04028,3
DB13554,5
DB12892,4
DB03747,5
DB02459,4
DB05450,3
DB04996,6
DB03021,4
DB13232,4
DB08174,6
DB07247,4
DB00528,4
DB11425,5
DB06159,4
DB08160,5
DB07253,6
DB01622,5
DB11431,4
DB05444,4
DB12138,6
DB04982,4
DB14549,1
DB03035,4
DB13226,4
DB13540,4
DB03753,4
DB12886,4
DB01144,6
DB08606,5
DB07535,4
DB13568,5
DB04014,4
DB14207,5
DB02465,5
DB12676,4
DB06603,4
DB00272,3
DB08148,4
DB00514,4
DB11419,5
DB09256,5
DB12110,4
DB02303,5
DB04772,5
DB05478,7
DB02317,4
DB03009,6
DB14575,4
DB00500,4
DB09242,5
DB01178,6
DB00266,3
DB07509,6
DB04000,5
DB14213,4
DB02471,4
DB12662,3
DB12689,5
DB13597,4
DB03784,4
DB06824,3
DB11380,5
DB01193,4
DB08809,4
DB07284,3
DB04799,5
DB05487,6
DB01839,3
DB07290,6
DB00299,4
DB06830,4
DB11394,4
DB01187,4
DB03948,6
DB13583,3
DB03790,5
DB08835,4
DB03960,4
DB09295,5
DB01811,4
DB09281,3
DB01805,5
DB03974,4
DB12879,4
DB09068,4
DB01434,3
DB07045,5
DB08376,4
DB13030,5
DB03223,4
DB14987,5
DB12448,3
DB05134,4
DB15327,5
DB02883,5
DB13756,3
DB07723,4
DB08410,4
DB01352,4
DB11141,4
DB07737,6
DB08404,6
DB01346,4
DB06429,4
DB11155,5
DB15333,5
DB03551,4
DB02897,4
DB13024,6
DB03237,3
DB02129,4
DB14993,5
DB11633,6
DB01420,3
DB07051,4
DB08362,4
DB04570,5
DB14763,4
DB02101,5
DB12312,4
DB09054,5
DB06367,5
DB01408,4
DB00716,4
DB07079,4
DB06401,4
DB12474,3
DB02667,6
DB04216,3
DB02673,4
DB14011,3
DB04202,3
DB08438,3
DB09040,5
DB04564,3
DB13018,4
DB14777,4
DB15469,4
DB02115,3
DB12306,6
DB14944,6
DB07086,3
DB00931,4
DB07938,4
DB11182,5
DB03586,4
DB02840,4
DB13795,5
DB02698,5
DB03592,5
DB13781,4
DB02854,3
DB11828,5
DB07092,5
DB00925,5
DB15496,4
DB14950,5
DB11800,5
DB08389,4
DB09097,5
DB14978,5
DB05875,5
DB13971,1
DB07910,4
DB02868,5
DB05861,5
DB11814,5
DB09083,4
DB00919,4
DB07131,4
DB08202,5
DB01540,3
DB00886,5
DB11753,4
DB02049,6
DB15535,2
DB03357,3
DB04438,6
DB13622,4
DB06549,5
DB01226,4
DB00138,5
DB07657,5
DB08564,5
DB01232,4
DB07643,5
DB08570,4
DB13636,4
DB03425,4
DB14159,4
DB15247,5
DB12528,3
DB05732,4
DB03343,3
DB07125,4
DB08216,4
DB01554,3
DB11747,6
DB00892,4
DB02075,5
DB04404,4
DB13178,3
DB00662,4
DB09120,4
DB06213,4
DB06575,4
DB00104,5
DB08558,4
DB04362,6
DB02713,4
DB12500,5
DB04376,3
DB03419,4
DB02707,4
DB12514,5
DB07119,4
DB00676,3
DB01568,4
DB09134,5
DB06207,5
DB12272,7
DB02061,3
DB04410,3
DB03394,3
DB12299,4
DB14830,5
DB01583,6
DB00845,4
DB11790,5
DB11948,3
DB07694,6
DB13839,3
DB02934,4
DB15284,5
DB02920,5
DB04389,6
DB07680,7
DB07858,4
DB01597,5
DB11784,4
DB00851,4
DB00689,5
DB03380,4
DB00879,6
DB11974,4
DB13805,4
DB02908,4
