Patent ID,IPC
AU198551534,A61K0031675
AU198551534,A61K003144
AU198551534,A61K0031495
AU198551534,A61K003150
AU198551534,A61K0031505
AU198551534,A61P000300
AU198551534,A61P000314
AU198551534,A61P004300
AU198551534,C07D021302
AU198551534,C07D021304
AU198551534,C07D021361
AU198551534,C07D021363
AU198551534,C07D021372
AU198551534,C07D021389
AU198551534,C07D023706
AU198551534,C07D023708
AU198551534,C07D023712
AU198551534,C07D023714
AU198551534,C07D023720
AU198551534,C07D023924
AU198551534,C07D023926
AU198551534,C07D023930
AU198551534,C07D023932
AU198551534,C07D023942
AU198551534,C07D024110
AU198551534,C07D024112
AU198551534,C07D024116
AU198551534,C07D024118
AU198551534,C07D024120
AU198551534,C07F000938
AU198551534,C07F000940
AU198551534,C07F0009547
AU198551534,C07F000958
AU198551534,C07F00096509
AU198551534,C07F00096512
AU198824906,A61K0031395
AU198824906,A61K003804
AU198824906,A61P003500
CA2177772,C07D040310
CA2177772,A61K000920
CA2177772,A61K003141
CA2177772,A61K0031415
CA2177772,A61K00314178
CA2177772,A61K0031425
CA2177772,A61K0031505
CA2177772,A61K003154
CA2177772,A61K0031549
CA2177772,A61K004700
CA2177772,A61P000710
CA2177772,A61P000900
CA2177772,A61P000904
CA2177772,A61P000912
CA2177772,A61P004300
CA2179584,A61K003144
CA2179584,A61K004506
CA2179584,A61K000920
CA2179584,A61K000948
CA2179584,A61K003100
CA2179584,A61K0031133
CA2179584,A61K0031155
CA2179584,A61K003118
CA2179584,A61K003133
CA2179584,A61K003141
CA2179584,A61K003142
CA2179584,A61K0031421
CA2179584,A61K00314245
CA2179584,A61K0031425
CA2179584,A61K0031426
CA2179584,A61K00314439
CA2179584,A61K0031445
CA2179584,A61K003152
CA2179584,A61K003164
CA2179584,A61K003170
CA2179584,A61K0031702
CA2179584,A61P000308
CA2179584,A61P000310
CA2179584,A61P000550
CA2179584,A61P004300
CA2179584,C07D023354
CA2179584,C07D026344
CA2179584,C07D027720
CA2179584,C07D027734
CN101756928,A61K000928
CN101756928,A61K003148
CN101756928,A61P000900
CN101756928,A61P002528
CN101756931,A61K000936
CN101756931,A61K0031593
CN101756931,A61K0031663
CN101756931,A61P001910
CN101756971,A61K00314402
CN101756971,A61K0031155
CN101756971,A61P000310
CN101756972,A61K00314422
CN101756972,A61K0031165
CN101756972,A61P000912
CN101756975,A61K00314422
CN101756975,A61K00314184
CN101756975,A61P000912
CN101756982,A61K00314706
CN101756982,A61K0031357
CN101756982,A61K004702
CN101756982,A61P003306
CN101756985,A61K003148
CN101756985,A61K000922
CN101756985,A61P000912
CN101756985,A61P002500
CN101756985,A61P002528
CN101756994,A61K0031549
CN101756994,A61K0031138
CN101756994,A61P000912
CN101757002,A61K003164
CN101757002,A61J000307
CN101757002,A61K000948
CN101757002,A61K0031155
CN101757002,A61P000310
CN101780028,A61K000900
CN101780028,A61K0031192
CN101780028,A61K0031327
CN101780028,A61K004710
CN101780028,A61K004732
CN101780028,A61K004736
CN101780028,A61P001700
CN101780028,A61P001710
CN101780078,A61K00314422
CN101780078,A61K000916
CN101780078,A61K00314184
CN101780078,A61P000912
CN101780081,A61K0031455
CN101780081,A61K000922
CN101780081,A61K004736
CN101780081,A61P000306
CN101780081,A61K0031366
CN101780086,A61K0031546
CN101780086,A61K000919
CN101780086,A61K003143
CN101780086,A61K004716
CN101780086,A61P003104
CN101780089,A61K0031549
CN101780089,A61K000948
CN101780089,A61K00314184
CN101780089,A61K004704
CN101780089,A61K004732
CN101780089,A61K004738
CN101780089,A61P000912
CN101780090,A61K0031549
CN101780090,A61K000920
CN101780090,A61K000928
CN101780090,A61K003141
CN101780090,A61P000912
CN101785774,A61K0031455
CN101785774,A61K000924
CN101785774,A61K0031366
CN101785774,A61P000306
CN101797244,A61K0031198
CN101797244,A61K000920
CN101797244,A61K004738
CN101797244,A61P002516
CN101797244,A61K003116
CN101797250,A61K00314422
CN101797250,A61K000916
CN101797250,A61K000948
CN101797250,A61K00314184
CN101797250,A61P000912
CN101804056,A61K00314439
CN101804056,A61K000920
CN101804056,A61K00314015
CN101804056,A61K004720
CN101804056,A61P000310
CN101810628,A61K003164
CN101810628,A61K000936
CN101810628,A61K0031155
CN101810628,A61P000310
CN101836987,A61K0031455
CN101836987,A61K000922
CN101836987,A61K0031366
CN101836987,A61K004700
CN101836987,A61P000306
CN101843617,A61K0031451
CN101843617,A61K000924
CN101843617,A61K000952
CN101843617,A61K0031155
CN101843617,A61P000310
CN101843621,A61K003153
CN101843621,A61K000916
CN101843621,A61K00314412
CN101843621,A61K0031513
CN101843621,A61K004769
CN101843621,A61P003500
CN101849939,A61K0031439
CN101849939,A61K0031137
CN101849939,A61P001100
CN101849939,A61P001106
CN101862328,A61K00314422
CN101862328,A61K000948
CN101862328,A61K003141
CN101862328,A61P000912
CN101897701,A61K003143
CN101897701,A61J000310
CN101897701,A61K000920
CN101897701,A61K0031424
CN101897701,A61P003104
CN101919853,A61K0031445
CN101919853,A61K000952
CN101919853,A61K0031137
CN101919853,A61P001100
CN101919853,A61P001102
CN101919853,A61P001700
CN101919853,A61P003100
CN101919853,A61P003708
CN101926785,A61K0031198
CN101926785,A61J000300
CN101926785,A61J000310
CN101926785,A61K000922
CN101926785,A61K004738
CN101926785,A61P002516
CN101972253,A61K00314422
CN101972253,A61K000920
CN101972253,A61K00314184
CN101972253,A61P000912
CN101972263,A61K0031549
CN101972263,A61K0009127
CN101972263,A61K003141
CN101972263,A61P000912
CN101984970,A61K0031496
CN101984970,A61K000928
CN101984970,A61K0031357
CN101984970,A61P003306
CN101984974,A61K003164
CN101984974,A61J000300
CN101984974,A61K000930
CN101984974,A61K000936
CN101984974,A61K0031155
CN101984974,A61P000310
CN101987098,A61K00314422
CN101987098,A61K000920
CN101987098,A61K003141
CN101987098,A61P000912
CN102008469,A61K00314422
CN102008469,A61K000920
CN102008469,A61K00314184
CN102008469,A61P000912
CN102018662,A61K000908
CN102018662,A61K003148
CN102018662,A61P000910
CN102018662,A61P002500
CN102018662,A61P002504
CN102018662,A61P002506
CN102018662,A61P002528
CN102018713,A61K0031496
CN102018713,A61K0031431
CN102018713,A61P003104
CN102053122,G01N003002
CN102053122,G01N003036
CN102058557,A61K000924
CN102058557,A61K0031155
CN102058557,A61K0031366
CN102058557,A61K00314439
CN102058557,A61K0031455
CN102058557,A61K003164
CN102058557,A61K004726
CN102058557,A61K004732
CN102058557,A61K004738
CN102058557,A61P000310
CN102058583,A61K0031424
CN102058583,A61K000919
CN102058583,A61K0031431
CN102058583,A61P003104
CN102058602,A61K0031549
CN102058602,A61K00314178
CN102058602,A61K004712
CN102058602,A61K004718
CN102058602,A61P000912
CN102058604,A61K003157
CN102058604,A61K0031565
CN102058604,A61P000530
CN102085175,A61K000900
CN102085175,A61K00315377
CN102085175,A61K00315575
CN102085175,A61K004710
CN102085175,A61K004732
CN102085175,A61K004736
CN102085175,A61K004738
CN102085175,A61P002706
CN102091069,A61K00314422
CN102091069,A61K000920
CN102091069,A61K000948
CN102091069,A61K003141
CN102091069,A61P000900
CN102106853,A61K00314422
CN102106853,A61K00314184
CN102106853,A61P000912
CN102114018,A61K0031455
CN102114018,A61K000924
CN102114018,A61K0031404
CN102114018,A61P000306
CN102125561,A61K00315415
CN102125561,A61K000900
CN102125561,A61K000916
CN102125561,A61K00314184
CN102125561,A61P000912
CN102125563,A61K0031549
CN102125563,A61K000948
CN102125563,A61K00314184
CN102125563,A61K00314422
CN102125563,A61P000912
CN102138920,A61K00314184
CN102138920,A61K000920
CN102138920,A61K0031549
CN102138920,A61K004732
CN102138920,A61K004738
CN102138920,A61P000912
CN102160859,A61K0031137
CN102160859,A61K000962
CN102160859,A61K00314545
CN102160859,A61P003116
CN102166208,A61K0031401
CN102166208,A61K0009127
CN102166208,A61K0031549
CN102166208,A61K004724
CN102166208,A61K004728
CN102166208,A61P000900
CN102166208,A61P000910
CN102166208,A61P000912
CN102188402,A61K000924
CN102188402,A61K003122
CN102188402,A61K0031366
CN102188402,A61K0031455
CN102188402,A61K004738
CN102188402,A61P000306
CN102188419,A61K003140
CN102188419,A61K0031216
CN102188419,A61P000306
CN102188427,A61K0031455
CN102188427,A61K000924
CN102188427,A61K000952
CN102188427,A61K0031366
CN102188427,A61P000306
CN102188466,A61K0036258
CN102188466,A61K003560
CN102188466,A61P002524
CN102198129,A61K00314184
CN102198129,A61K000928
CN102198129,A61K0031549
